"year","month","day","mode","route","peak","numerator","denominator"
2023,3,1,"Bus","86","PEAK",215,286
2023,3,2,"Bus","1","OFF_PEAK",988,1329
2023,3,2,"Bus","1","PEAK",384,474
2023,3,2,"Bus","86","OFF_PEAK",347,499
2023,3,2,"Bus","86","PEAK",209,279
2023,3,3,"Bus","1","OFF_PEAK",823,1171
2023,3,3,"Bus","1","PEAK",227,300
2023,3,3,"Bus","86","OFF_PEAK",323,483
2023,3,3,"Bus","86","PEAK",223,296
2023,3,4,"Bus","1","OFF_PEAK",1427,1856
2023,3,4,"Bus","86","OFF_PEAK",331,518
2023,3,5,"Bus","1","OFF_PEAK",909,1282
2023,3,5,"Bus","86","OFF_PEAK",230,364
2023,3,6,"Bus","1","OFF_PEAK",866,1232
2023,3,6,"Bus","1","PEAK",282,366
2023,3,6,"Bus","86","OFF_PEAK",372,499
2023,3,6,"Bus","86","PEAK",221,293
2023,3,7,"Bus","1","OFF_PEAK",1095,1425
2023,3,7,"Bus","1","PEAK",295,414
2023,3,7,"Bus","86","OFF_PEAK",363,479
2023,3,7,"Bus","86","PEAK",196,272
2023,3,8,"Bus","1","OFF_PEAK",997,1308
2023,3,8,"Bus","1","PEAK",268,378
2023,3,8,"Bus","86","OFF_PEAK",367,491
2023,3,8,"Bus","86","PEAK",202,278
2023,3,9,"Bus","1","OFF_PEAK",707,1000
2023,3,9,"Bus","1","PEAK",249,344
2023,3,9,"Bus","86","OFF_PEAK",375,494
2023,3,9,"Bus","86","PEAK",221,281
2023,3,10,"Bus","1","OFF_PEAK",690,978
2023,3,10,"Bus","1","PEAK",257,353
2023,3,10,"Bus","86","OFF_PEAK",333,464
2023,3,10,"Bus","86","PEAK",197,266
2023,3,12,"Bus","1","OFF_PEAK",753,980
2023,3,12,"Bus","86","OFF_PEAK",245,363
2023,3,13,"Bus","1","OFF_PEAK",1158,1555
2023,3,13,"Bus","1","PEAK",370,473
2023,3,13,"Bus","86","OFF_PEAK",348,444
2023,3,13,"Bus","86","PEAK",209,255
2023,3,14,"Bus","1","OFF_PEAK",1138,1424
2023,3,14,"Bus","1","PEAK",303,379
2023,3,14,"Bus","86","OFF_PEAK",350,448
2023,3,14,"Bus","86","PEAK",198,243
2023,3,15,"Bus","1","OFF_PEAK",1038,1310
2023,3,15,"Bus","1","PEAK",287,379
2023,3,15,"Bus","86","OFF_PEAK",365,486
2023,3,15,"Bus","86","PEAK",216,289
2023,3,16,"Bus","1","OFF_PEAK",1078,1452
2023,3,16,"Bus","1","PEAK",387,540
2023,3,16,"Bus","86","OFF_PEAK",338,499
2023,3,16,"Bus","86","PEAK",216,296
2023,3,17,"Bus","1","OFF_PEAK",1112,1480
2023,3,17,"Bus","1","PEAK",347,487
2023,3,17,"Bus","86","OFF_PEAK",340,483
2023,3,17,"Bus","86","PEAK",184,249
2023,3,18,"Bus","1","OFF_PEAK",1283,1777
2023,3,18,"Bus","86","OFF_PEAK",312,529
2023,3,19,"Bus","1","OFF_PEAK",967,1213
2023,3,19,"Bus","86","OFF_PEAK",221,336
2023,3,20,"Bus","1","OFF_PEAK",1167,1492
2023,3,20,"Bus","1","PEAK",348,453
2023,3,20,"Bus","86","OFF_PEAK",360,484
2023,3,20,"Bus","86","PEAK",193,283
2023,3,21,"Bus","1","OFF_PEAK",1084,1422
2023,3,21,"Bus","1","PEAK",342,490
