"year","month","day","mode","route","peak","numerator","denominator"
2023,2,7,"Rail","Red","OFF_PEAK",97853.343201003,115959.929787969
2023,2,7,"Rail","Red","PEAK",84635.923288256,100420.567314268
2023,2,8,"Rail","Green-D","OFF_PEAK",17990.513194855,23771.837407991
2023,2,8,"Rail","Green-D","PEAK",13400.941378747,17223.04740561
2023,2,8,"Rail","Red","OFF_PEAK",102555.256185517,116730.711003584
2023,2,8,"Rail","Red","PEAK",86836.278035951,99047.726071525
2023,2,9,"Rail","Green-D","OFF_PEAK",18697.380987346,24283.619353139
2023,2,9,"Rail","Green-D","PEAK",14726.687700254,18187.144382564
2023,2,9,"Rail","Red","OFF_PEAK",98592.765091333,116157.210407692
2023,2,9,"Rail","Red","PEAK",85322.31275287,99405.07164129
2023,2,10,"Rail","Green-D","OFF_PEAK",18684.629310208,24128.332636626
2023,2,10,"Rail","Green-D","PEAK",13621.851057945,18257.609059842
2023,2,10,"Rail","Red","OFF_PEAK",111705.620045388,127093.111077333
2023,2,10,"Rail","Red","PEAK",100678.263094934,111829.452794705
2023,2,11,"Rail","Green-D","OFF_PEAK",16034.98079289,21030.2693519
2023,2,11,"Rail","Red","OFF_PEAK",77702.840536877,90814.176514893
2023,2,12,"Rail","Green-D","OFF_PEAK",14351.320835238,18375.161828981
2023,2,12,"Rail","Red","OFF_PEAK",59340.863016693,66510.339413433
2023,2,13,"Rail","Green-D","OFF_PEAK",18738.805909548,23926.253769241
2023,2,13,"Rail","Green-D","PEAK",13223.856987274,16747.713305049
2023,2,13,"Rail","Red","OFF_PEAK",111559.022673898,127131.143438204
2023,2,13,"Rail","Red","PEAK",99834.840176312,110869.93417743
2023,2,14,"Rail","Green-D","OFF_PEAK",18102.655483109,23081.387013923
2023,2,14,"Rail","Green-D","PEAK",13560.806045401,17445.383626386
2023,2,14,"Rail","Red","OFF_PEAK",113371.966052496,125924.653608497
2023,2,14,"Rail","Red","PEAK",101930.248301888,110561.676182007
2023,2,15,"Rail","Green-D","OFF_PEAK",18016.477108156,23058.120654827
2023,2,15,"Rail","Green-D","PEAK",13016.859762462,17513.555952108
2023,2,15,"Rail","Red","OFF_PEAK",110063.15287344,127394.975017508
2023,2,15,"Rail","Red","PEAK",97853.75479253,113152.881814593
2023,2,16,"Rail","Green-D","OFF_PEAK",19520.630517785,24418.810959301
2023,2,16,"Rail","Green-D","PEAK",14843.992811266,18007.087592022
2023,2,16,"Rail","Red","OFF_PEAK",113905.105546558,129459.01945883
2023,2,16,"Rail","Red","PEAK",100820.962294242,112898.688182845
2023,2,17,"Rail","Green-D","OFF_PEAK",18110.094492301,23232.815855874
2023,2,17,"Rail","Green-D","PEAK",13596.063418077,17860.607403141
2023,2,17,"Rail","Red","OFF_PEAK",112721.10763942,129851.128026154
2023,2,17,"Rail","Red","PEAK",100563.985159425,113004.775694864
2023,2,18,"Rail","Green-D","OFF_PEAK",15041.090117262,21271.110912925
2023,2,18,"Rail","Red","OFF_PEAK",83536.847678104,92665.433029234
2023,2,19,"Rail","Green-D","OFF_PEAK",10280.796935037,14353.450670229
2023,2,19,"Rail","Red","OFF_PEAK",58228.606966417,66522.132801544
2023,2,20,"Rail","Green-D","OFF_PEAK",18516.930626588,23783.237727418
2023,2,20,"Rail","Green-D","PEAK",13010.137133849,17506.174136932
2023,2,20,"Rail","Red","OFF_PEAK",113321.719456718,130824.468133131
2023,2,20,"Rail","Red","PEAK",91434.009066204,107378.173374393
2023,2,21,"Rail","Green-D","OFF_PEAK",18564.42991013,24416.337449007
2023,2,21,"Rail","Green-D","PEAK",13364.065397765,17561.094661803
2023,2,21,"Rail","Red","OFF_PEAK",110258.722390005,129725.025309221
2023,2,21,"Rail","Red","PEAK",99852.736103246,115896.932563913
2023,2,22,"Rail","Green-D","OFF_PEAK",18696.042567347,23779.173577488
2023,2,22,"Rail","Green-D","PEAK",14397.437723207,17971.414028383
2023,2,22,"Rail","Red","OFF_PEAK",111905.676333817,129812.908033014
2023,2,22,"Rail","Red","PEAK",100357.635910351,115894.826112346
2023,2,23,"Rail","Green-D","OFF_PEAK",19740.164833816,24833.201572109
2023,2,23,"Rail","Green-D","PEAK",15031.797720894,18615.211746824
2023,2,23,"Rail","Red","OFF_PEAK",104536.322505115,129185.341200062
2023,2,23,"Rail","Red","PEAK",97152.493676752,115518.238691775
2023,2,24,"Rail","Green-D","OFF_PEAK",16600.302540342,22961.244727197
2023,2,24,"Rail","Green-D","PEAK",11339.92245325,15520.714306238
2023,2,24,"Rail","Red","OFF_PEAK",94437.829682917,116569.046185725
2023,2,24,"Rail","Red","PEAK",70157.268118185,92398.752290338
2023,2,25,"Rail","Green-D","OFF_PEAK",15794.391418618,21960.768022157
2023,2,25,"Rail","Red","OFF_PEAK",41102.369217437,52603.114113118
2023,2,26,"Rail","Green-D","OFF_PEAK",12277.088132525,15787.735911256
2023,2,26,"Rail","Red","OFF_PEAK",28300.111700226,36783.324645057
2023,2,27,"Rail","Green-D","OFF_PEAK",17901.121798303,23900.860404715
2023,2,27,"Rail","Green-D","PEAK",13111.272496185,17921.81173845
2023,2,27,"Rail","Red","OFF_PEAK",106594.043476894,129500.785797981
2023,2,27,"Rail","Red","PEAK",90238.680081412,114190.345509576
2023,2,28,"Rail","Green-D","OFF_PEAK",17037.702696966,22268.496691681
2023,2,28,"Rail","Green-D","PEAK",11364.602705005,15042.326154767
2023,2,28,"Rail","Red","OFF_PEAK",111386.411589447,130560.177174175
2023,2,28,"Rail","Red","PEAK",90916.864709304,113287.634800335
2023,3,1,"Rail","Green-D","OFF_PEAK",17980.8902601,23347.651856329
2023,3,1,"Rail","Green-D","PEAK",12942.564290969,17461.330387173
2023,3,1,"Rail","Red","OFF_PEAK",100461.781455738,121652.470942887
2023,3,1,"Rail","Red","PEAK",95850.437582051,113168.23140978
2023,3,2,"Rail","Green-D","OFF_PEAK",20129.799027065,25592.084030036
2023,3,2,"Rail","Green-D","PEAK",13674.199862003,17215.723710622
2023,3,2,"Rail","Red","OFF_PEAK",105734.620304932,129157.035341356
2023,3,2,"Rail","Red","PEAK",97390.248622847,116832.093233775
2023,3,3,"Rail","Green-D","OFF_PEAK",19730.471959007,25428.879332835
2023,3,3,"Rail","Green-D","PEAK",12588.016205916,17408.425196616
2023,3,3,"Rail","Red","OFF_PEAK",107175.822251126,129035.293677462
2023,3,3,"Rail","Red","PEAK",97081.728654277,114550.683412075
2023,3,4,"Rail","Green-D","OFF_PEAK",23168.420900007,28290.051150148
2023,3,4,"Rail","Red","OFF_PEAK",3409.257392866,3766.890713712
2023,3,5,"Rail","Green-D","OFF_PEAK",14606.919062364,18311.938759576
2023,3,5,"Rail","Red","OFF_PEAK",2541.700364178,2746.551975718
